iter	MultiClass
0	0.9538598728
1	0.8423479871
2	0.7529763184
3	0.6801055654
4	0.6184854064
5	0.5654579881
6	0.5205882131
7	0.4815521408
8	0.4474777286
9	0.4174487188
10	0.3910200349
11	0.3677010388
12	0.3468353507
13	0.3283379322
14	0.3116822139
15	0.2969285843
16	0.2835284338
17	0.2709261084
18	0.2601874284
19	0.2505448274
20	0.2417402627
21	0.2337950343
22	0.226055033
23	0.2205914507
24	0.2150828676
25	0.2094963412
26	0.2040429097
27	0.1998144167
28	0.1955056069
29	0.1923362991
30	0.1888419579
31	0.1855703318
32	0.1826677402
33	0.1796733767
34	0.1770210548
35	0.1748188659
36	0.1727725158
37	0.1706364323
38	0.1690893536
39	0.1677793137
40	0.1663400965
41	0.1657487098
42	0.1644762755
43	0.1635535627
44	0.1627569361
45	0.1615805243
46	0.1608376684
47	0.1603328868
48	0.1597659761
49	0.1589799055
50	0.158696994
51	0.1582340115
52	0.157740874
53	0.1570693518
54	0.1563832461
55	0.1560984244
56	0.1558649235
57	0.1555519632
58	0.1549637235
59	0.1543005047
60	0.1540921566
61	0.1538152064
62	0.1536051081
63	0.1534385237
64	0.1533108073
65	0.1531948097
66	0.1529401492
67	0.1526194023
68	0.1525283048
69	0.1523988929
70	0.1522427794
71	0.152148636
72	0.151962464
73	0.15186998
74	0.1515231227
75	0.1514175416
76	0.151260045
77	0.1511033803
78	0.1509619397
79	0.1508608433
80	0.1508025508
81	0.1506532318
82	0.1506051121
83	0.1505142111
84	0.1502739503
85	0.1500262071
86	0.149988292
87	0.1499234522
88	0.1497916773
89	0.1496937604
90	0.1493904305
91	0.1492860521
92	0.1492566829
93	0.149156484
94	0.1489138889
95	0.1488636365
96	0.148781848
97	0.1487412802
98	0.1486530289
99	0.1484983174
100	0.14845103
101	0.1483938494
102	0.1482581032
103	0.1482226423
104	0.1481832274
105	0.148148564
106	0.1480715015
107	0.1480510273
108	0.1480114475
109	0.1478103591
110	0.1475697076
111	0.1475028856
112	0.1474435598
113	0.1473488204
114	0.1473163445
115	0.1472795664
116	0.1472279578
117	0.1471749932
118	0.1471244641
119	0.147077623
120	0.1470499213
121	0.146785225
122	0.146663763
123	0.1466367749
124	0.1465153286
125	0.1464166158
126	0.146383913
127	0.1463302702
128	0.1462817116
129	0.1462447184
130	0.1462155548
131	0.1461258926
132	0.1460861417
133	0.1460634669
134	0.1460395179
135	0.1459379068
136	0.1459153085
137	0.1458773866
138	0.1458035967
139	0.145776233
140	0.1457319266
141	0.1456985723
142	0.1456653932
143	0.1456122401
144	0.1454617095
145	0.1454258136
146	0.1454080587
147	0.1453663468
148	0.1453041405
149	0.1452748873
150	0.1452401155
151	0.1451552318
152	0.1451259204
153	0.1450980484
154	0.1450783136
155	0.1450666482
156	0.1450472005
157	0.1450191659
158	0.1449930397
159	0.1449574509
160	0.144890374
161	0.1448337441
162	0.1447825957
163	0.1447138423
164	0.1446979617
165	0.1446614009
166	0.1446244825
167	0.144600786
168	0.1445618681
169	0.1445303515
170	0.1444885111
171	0.1444462637
172	0.1444036681
173	0.1443328371
174	0.1443169243
175	0.1442904654
176	0.1442463139
177	0.1442015274
178	0.144176615
179	0.144169897
180	0.1441137116
181	0.1440931663
182	0.1440669702
183	0.1440325611
184	0.1440148354
185	0.1439904406
186	0.1439651463
187	0.1439515795
188	0.1439330367
189	0.1439204933
190	0.1438984841
191	0.1438661617
192	0.1437738932
193	0.143760879
194	0.1437290119
195	0.1437036636
196	0.1436965908
197	0.143680669
198	0.143670469
199	0.1436524532
200	0.1436133955
201	0.1435789475
202	0.1435507765
203	0.1435323664
204	0.1435203262
205	0.1434937386
206	0.1434832737
207	0.1434619225
208	0.1433461948
209	0.1433253678
210	0.1432937601
211	0.1432733222
212	0.1432537736
213	0.1432406278
214	0.1432287817
215	0.1432034938
216	0.1431875056
217	0.1431618021
218	0.1431444321
219	0.1431231139
220	0.1430962682
221	0.1430878185
222	0.1430686384
223	0.1430383979
224	0.1429872485
225	0.1429789467
226	0.1429649966
227	0.1429375354
228	0.1429345117
229	0.1429170256
230	0.1429059818
231	0.1428996365
232	0.1428902773
233	0.1428691288
234	0.142851316
235	0.1428313696
236	0.1427596284
237	0.1426667349
238	0.142652195
239	0.1426221225
240	0.1426151492
241	0.1425998415
242	0.1425789634
243	0.1425517985
244	0.1425038838
245	0.1424813699
246	0.1424621025
247	0.1424378593
248	0.1424061454
249	0.1423865765
250	0.1423632245
251	0.1423399827
252	0.1423073228
253	0.1422884346
254	0.14225689
255	0.1422401331
256	0.1422159999
257	0.1421953276
258	0.1421843645
259	0.1421746554
260	0.1421609152
261	0.1421312175
262	0.1420977266
263	0.1420851536
264	0.1420528708
265	0.1420427065
266	0.1420299524
267	0.1419784017
268	0.1419745962
269	0.1419684694
270	0.1419654316
271	0.1419500758
272	0.1419258831
273	0.1419141506
274	0.1418945893
275	0.1418851064
276	0.1418492479
277	0.1418318309
278	0.1418255681
279	0.1418001078
280	0.1417869929
281	0.1417781659
282	0.1417503037
283	0.1417371997
284	0.1417285079
285	0.1417164594
286	0.1417053821
287	0.1417006454
288	0.1416949847
289	0.1416807503
290	0.1416626307
291	0.1416450613
292	0.1416068748
293	0.1415852334
294	0.1415717649
