iter	Passed	Remaining
0	23	23015
1	32	16123
2	40	13499
3	50	12624
4	60	12052
5	70	11751
6	81	11497
7	90	11253
8	101	11162
9	110	10899
10	120	10820
11	130	10751
12	140	10688
13	151	10637
14	159	10457
15	172	10629
16	184	10658
17	195	10647
18	205	10601
19	217	10635
20	228	10642
21	239	10628
22	249	10616
23	263	10705
24	273	10685
25	284	10645
26	295	10657
27	305	10617
28	313	10507
29	322	10428
30	333	10415
31	342	10374
32	354	10397
33	366	10406
34	377	10414
35	388	10395
36	398	10360
37	409	10356
38	419	10332
39	426	10238
40	437	10228
41	450	10275
42	461	10265
43	471	10241
44	482	10241
45	490	10172
46	500	10148
47	510	10133
48	521	10127
49	533	10134
50	544	10126
51	554	10107
52	565	10108
53	578	10129
54	589	10123
55	598	10094
56	609	10075
57	618	10047
58	628	10025
59	639	10013
60	649	9993
61	660	9985
62	670	9971
63	679	9944
64	687	9886
65	698	9883
66	709	9883
67	721	9888
68	734	9911
69	746	9920
70	756	9902
71	772	9961
72	784	9959
73	795	9959
74	808	9973
75	819	9962
76	829	9945
77	839	9920
78	849	9899
79	859	9887
80	870	9875
81	881	9864
82	893	9869
83	907	9893
84	917	9881
85	928	9862
86	943	9904
87	955	9900
88	969	9925
89	983	9948
90	1013	10126
91	1027	10141
92	1038	10124
93	1059	10208
94	1071	10210
95	1084	10213
96	1097	10217
97	1108	10203
98	1118	10179
99	1129	10163
100	1139	10146
101	1152	10142
102	1162	10123
103	1172	10104
104	1185	10103
105	1198	10106
106	1209	10090
107	1220	10081
108	1230	10060
109	1240	10040
110	1253	10042
111	1264	10028
112	1276	10018
113	1287	10009
114	1298	9995
115	1308	9972
116	1323	9987
117	1334	9971
118	1344	9954
119	1357	9951
120	1367	9935
121	1378	9920
122	1388	9903
123	1399	9885
124	1410	9871
125	1420	9851
126	1431	9840
127	1444	9838
128	1456	9831
129	1467	9818
130	1478	9807
131	1489	9795
132	1499	9774
133	1509	9755
134	1519	9738
135	1530	9723
136	1544	9726
137	1556	9725
138	1569	9721
139	1586	9743
140	1599	9745
141	1612	9743
142	1625	9741
143	1636	9730
144	1652	9746
145	1664	9733
146	1676	9728
147	1688	9719
148	1700	9711
149	1710	9695
150	1721	9681
151	1732	9664
152	1743	9653
153	1754	9636
154	1764	9620
155	1776	9612
156	1788	9602
157	1799	9591
158	1811	9582
159	1821	9565
160	1833	9553
161	1845	9544
162	1855	9528
163	1866	9513
164	1878	9504
165	1889	9492
166	1902	9488
167	1916	9491
168	1929	9487
169	1941	9478
170	1954	9475
171	1968	9475
172	1986	9496
173	2007	9527
174	2020	9523
175	2038	9541
176	2048	9527
177	2060	9513
178	2072	9507
179	2082	9487
180	2092	9468
181	2103	9453
182	2113	9435
183	2123	9417
184	2136	9411
185	2147	9398
186	2158	9382
187	2169	9372
188	2180	9356
189	2190	9338
190	2201	9325
191	2211	9307
192	2221	9288
193	2236	9290
194	2247	9278
195	2258	9266
196	2273	9267
197	2284	9252
198	2295	9239
199	2305	9223
200	2317	9211
201	2330	9205
202	2342	9195
203	2353	9183
204	2363	9167
205	2375	9154
206	2386	9141
207	2398	9133
208	2408	9117
209	2418	9099
210	2430	9087
211	2440	9070
212	2449	9052
213	2460	9035
214	2469	9017
215	2479	9001
216	2492	8993
217	2503	8978
218	2516	8972
219	2532	8980
220	2545	8971
221	2558	8966
222	2571	8958
223	2584	8951
224	2598	8952
225	2610	8941
226	2623	8934
227	2643	8950
228	2657	8945
229	2670	8941
230	2683	8934
231	2695	8923
232	2709	8919
233	2723	8914
234	2742	8927
235	2754	8917
236	2767	8908
237	2781	8904
238	2793	8894
239	2807	8889
240	2820	8881
241	2832	8872
242	2851	8883
243	2869	8892
244	2884	8888
245	2896	8878
246	2909	8869
247	2921	8858
248	2931	8842
249	2942	8826
250	2954	8816
251	2964	8799
252	2974	8782
253	2986	8771
254	2996	8754
255	3006	8738
256	3022	8739
257	3034	8727
258	3046	8714
259	3057	8702
260	3068	8689
261	3079	8674
262	3091	8664
263	3103	8653
264	3116	8643
265	3129	8636
266	3146	8638
267	3176	8676
268	3190	8668
269	3206	8669
270	3220	8664
271	3234	8657
272	3250	8655
273	3263	8646
274	3274	8633
275	3285	8619
276	3298	8610
277	3312	8602
278	3324	8591
279	3336	8578
280	3353	8580
281	3365	8568
282	3379	8562
283	3393	8554
284	3406	8545
285	3421	8542
286	3434	8532
287	3445	8519
288	3457	8507
289	3470	8497
290	3483	8486
291	3495	8475
292	3506	8461
293	3522	8458
294	3533	8445
295	3547	8437
296	3559	8426
297	3573	8417
298	3588	8412
299	3598	8396
300	3609	8381
301	3622	8372
302	3633	8358
303	3644	8343
304	3654	8326
305	3664	8310
306	3674	8294
307	3684	8277
308	3694	8261
309	3704	8245
310	3716	8233
311	3727	8219
312	3740	8210
313	3759	8213
314	3773	8205
315	3786	8196
316	3800	8189
317	3813	8178
318	3828	8172
319	3839	8159
320	3850	8145
321	3863	8134
322	3874	8121
323	3885	8106
324	3897	8094
325	3909	8082
326	3922	8072
327	3935	8062
328	3946	8049
329	3957	8034
330	3968	8020
331	3979	8006
332	3991	7994
333	4002	7980
334	4012	7965
335	4029	7962
336	4043	7955
337	4064	7960
338	4115	8024
339	4127	8012
340	4155	8031
341	4172	8027
342	4184	8014
343	4195	8000
344	4208	7989
345	4219	7976
346	4236	7973
347	4250	7963
348	4260	7947
349	4272	7935
350	4283	7920
351	4294	7906
352	4306	7892
353	4316	7877
354	4326	7861
355	4336	7845
356	4346	7828
357	4356	7812
358	4367	7797
359	4376	7781
360	4387	7765
361	4397	7751
362	4408	7735
363	4418	7720
364	4429	7705
365	4439	7689
366	4449	7674
367	4460	7660
368	4471	7646
369	4481	7630
370	4497	7625
371	4510	7615
372	4523	7604
373	4536	7593
374	4552	7586
375	4571	7586
376	4586	7580
377	4602	7573
378	4616	7564
379	4633	7560
380	4648	7551
381	4663	7543
382	4684	7546
383	4695	7532
384	4707	7519
385	4719	7507
386	4732	7495
387	4743	7482
388	4754	7467
389	4764	7451
390	4773	7435
391	4784	7420
392	4795	7406
393	4809	7396
394	4821	7384
395	4834	7373
396	4847	7362
397	4858	7349
398	4870	7336
399	4884	7326
400	4897	7315
401	4909	7302
402	4920	7289
403	4933	7277
404	4947	7268
405	4960	7256
406	4970	7242
407	4982	7228
408	4992	7213
409	5002	7199
410	5012	7183
411	5023	7169
412	5033	7154
413	5043	7139
414	5053	7123
415	5064	7109
416	5075	7096
417	5086	7082
418	5097	7068
419	5110	7056
420	5120	7042
421	5130	7026
422	5140	7012
423	5150	6997
424	5162	6984
425	5175	6973
426	5187	6961
427	5198	6947
428	5212	6937
429	5222	6922
430	5233	6908
431	5245	6897
432	5257	6884
433	5268	6870
434	5280	6857
435	5291	6844
436	5301	6829
437	5312	6817
438	5323	6803
439	5334	6789
440	5344	6774
441	5355	6760
442	5365	6746
443	5375	6731
444	5385	6716
445	5394	6701
446	5404	6686
447	5414	6671
448	5425	6657
449	5435	6643
450	5445	6628
451	5455	6614
452	5465	6599
453	5476	6586
454	5486	6571
455	5495	6556
456	5505	6541
457	5515	6527
458	5525	6512
459	5535	6498
460	5545	6483
461	5555	6469
462	5566	6456
463	5578	6443
464	5590	6432
465	5601	6419
466	5612	6405
467	5625	6394
468	5637	6382
469	5647	6367
470	5658	6355
471	5669	6341
472	5681	6329
473	5693	6317
474	5704	6304
475	5716	6292
476	5728	6280
477	5739	6267
478	5750	6254
479	5761	6241
480	5771	6227
481	5782	6214
482	5794	6202
483	5805	6189
484	5815	6175
485	5825	6161
486	5836	6148
487	5846	6134
488	5857	6120
489	5867	6106
490	5876	6091
491	5889	6080
492	5900	6067
493	5912	6056
494	5928	6048
495	5941	6037
496	5953	6025
497	5967	6015
498	5978	6002
499	5991	5991
500	6005	5981
501	6019	5971
502	6031	5959
503	6042	5946
504	6052	5933
505	6064	5920
506	6074	5906
507	6085	5893
508	6096	5880
509	6107	5868
510	6120	5856
